STATUS_ALFABANK_100_ACTIVATED;STATUS_ALFABANK_100_ACTIVATED;1600;STATUS_ALFABANK_100_ACTIVATED;'Карта активирована'
ROCKETBANK_DEBIT_CARD_REFERRAL_NONE;ROCKETBANK_DEBIT_CARD_REFERRAL_NONE;700;ROCKETBANK_DEBIT_CARD_REFERRAL_NONE;'Карта не выдана'
ROCKETBANK_DEBIT_CARD_REFERRAL_DONE;ROCKETBANK_DEBIT_CARD_REFERRAL_DONE;710;ROCKETBANK_DEBIT_CARD_REFERRAL_DONE;'Карта выдана'
ROCKETBANK_VIRTUAL_DEBIT_CARD_REFERRAL_DONE;ROCKETBANK_VIRTUAL_DEBIT_CARD_REFERRAL_DONE;750;ROCKETBANK_VIRTUAL_DEBIT_CARD_REFERRAL_DONE;'Карта выдана'
ROCKETBANK_VIRTUAL_DEBIT_CARD_REFERRAL_ACTIVATE;ROCKETBANK_VIRTUAL_DEBIT_CARD_REFERRAL_ACTIVATE;760;ROCKETBANK_VIRTUAL_DEBIT_CARD_REFERRAL_ACTIVATE;'Карта активирована'
CREDITEUROPEBANK_CREDIT_CARD_REFERRAL_ANKETA_FILLED;CREDITEUROPEBANK_CREDIT_CARD_REFERRAL_ANKETA_FILLED;800;CREDITEUROPEBANK_CREDIT_CARD_REFERRAL_ANKETA_FILLED;'Анкета успешно заполнена'
ROSBANK_REFERRAL_APPROVED;ROSBANK_REFERRAL_APPROVED;900;ROSBANK_REFERRAL_APPROVED;'Одобрено'
ROSBANK_REFERRAL_DENIED;ROSBANK_REFERRAL_DENIED;910;ROSBANK_REFERRAL_DENIED;'Отклонено'
ROSBANK_REFERRAL_AWAITING;ROSBANK_REFERRAL_AWAITING;920;ROSBANK_REFERRAL_AWAITING;'В ожидании'
ROSBANK_REFERRAL_SEND;ROSBANK_REFERRAL_SEND;990;ROSBANK_REFERRAL_SEND;'Заявка передана'
OPENBANK_REFERRAL_CONFIRM;OPENBANK_REFERRAL_CONFIRM;2000;OPENBANK_REFERRAL_CONFIRM;'Принято'
OPENBANK_REFERRAL_PROCESSING;OPENBANK_REFERRAL_PROCESSING;2100;OPENBANK_REFERRAL_PROCESSING;'В обработке'
OPENBANK_REFERRAL_DENIED;OPENBANK_REFERRAL_DENIED;2200;OPENBANK_REFERRAL_DENIED;'Отклонено'
UBRR_API_PROCESSING;UBRR_API_PROCESSING;850;UBRR_API_PROCESSING;'В обработке'
UBRR_API_ERROR_DOUBLE;UBRR_API_ERROR_DOUBLE;860;UBRR_API_ERROR_DOUBLE;'Дубль заявки'
UBRR_API_ERROR_VALIDATE;UBRR_API_ERROR_VALIDATE;870;UBRR_API_ERROR_VALIDATE;'Данные не валидны'
UBRR_API_CLAIM_SEND;UBRR_API_CLAIM_SEND;880;UBRR_API_CLAIM_SEND;'Заявка передана',
